bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weigth,wifi
,,"Intel Core i5 thế hệ thứ 10, tốc độ 2.0GHz tối đa 3.8Ghz, bộ nhớ đệm cache L3 6MB",,Intel Iris Plus Graphics,https://cellphones.com.vn/macbook-pro-13-touchbar-i5-2ghz-512gb-2020.html,Macbook Pro 13 Touch Bar i5 2.0 512GB 2020,,,,41.500.000 ₫,,,,,,,,,,,,
,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,"GPU 7 nhân, 16 nhân Neural Engine",https://cellphones.com.vn/macbook-air-2020-m1-16gb.html,MacBook Air M1 16GB 256GB 2020,,,,30.500.000 ₫,,,,,,,,,,,,
,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,"GPU 8 nhân, 16 nhân Neural Engine",https://cellphones.com.vn/mac-mini-2020-m1.html,Mac mini M1 256GB 2020,,,,18.000.000 ₫,,,,,,,,,,,,
,,Apple M1 8 nhân,,GPU 8 nhân,https://cellphones.com.vn/imac-2021-8gpu-512gb.html,Mac 24 2021,,,,44.990.000 ₫,,,,,,,,,,,,
,,"Intel Core i5 thế hệ thứ 8, tốc độ 1.4GHz tối đa 3.9Ghz, 128MB eDRAM",,Intel Iris Plus Graphics 645,https://cellphones.com.vn/macbook-pro-13-touchbar-i5-1-4ghz-256gb-2020.html,Macbook Pro 13 Touch Bar i5 1.4 256GB 2020,,,,30.500.000 ₫,,,,,,,,,,,,
,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,"8 nhân GPU, 16 nhân Neural Engine",https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1-16gb.html,MacBook Pro 13 Touch Bar M1 16GB 256GB 2020,,,,39.000.000 ₫,,,,,,,,,,,,
,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,"GPU 8 nhân, 16 nhân Neural Engine",https://cellphones.com.vn/mac-mini-2020-m1-512gb.html,Mac mini M1 512GB 2020,,,,21.500.000 ₫,,,,,,,,,,,,
,,Apple M1 8 nhân,,GPU 8 nhân,https://cellphones.com.vn/imac-2021-8gpu-16gb.html,Mac 24 2021,,,,44.990.000 ₫,,,,,,,,,,,,
,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,"GPU 7 nhân, 16 nhân Neural Engine",https://cellphones.com.vn/macbook-air-2020-m1-512gb.html,MacBook Air M1 512GB 2020,,,,29.990.000 ₫,,,,,,,,,,,,
,,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,"GPU 7 nhân, 16 nhân Neural Engine",https://cellphones.com.vn/macbook-air-2020-m1.html,MacBook Air M1 256GB 2020,,,,26.500.000 ₫,,,,,,,,,,,,
